id_participant,condition,uncertaintyCondition,backgroundCondition,experiment_phase,round,trial,correct,completed_by,reaction_time,category,category_selected,category_id,category_selected_id,trained,iti_trial,previous_category_id,previous_category,selected_id,current_position_entity_selected_x,current_position_entity_selected_y,selected_entity_category_id,selected_entity_category,changed_entity_id,changed_entity_category_id,changed_entity_category,current_position_entity_changed_x,current_position_entity_changed_y,first_round,second_round,no_change,from_category_id,to_category_id,selected_entity_id,HOSTILE_entities,NEUTRAL_entities,PENDING_entities,UNKNOWN_entities,FRIEND_entities,ASSUMED_FRIEND_entities,ASSUMED_HOSTILE_entities,UNCERTAIN_FRIEND_entities,UNCERTAIN_HOSTILE_entities,total_entities_second_round
1,control_black,control,black,monitoring,2,20,0,TIMEOUT,,"","",,,,1263,4,HOSTILE,,,,,,10,3,NEUTRAL,298,359,0,1,FALSE,4,3,,3,6,0,7,6,1,1,0,0,24
1,control_black,control,black,monitoring,2,21,0,TIMEOUT,,"","",,,,1058,6,ASSUMED_HOSTILE,,,,,,23,5,ASSUMED_FRIEND,306,618,0,1,FALSE,6,5,,3,6,0,7,6,2,0,0,0,24
1,control_black,control,black,monitoring,2,22,0,CLICKED,681,"","",,,,1403,1,UNKNOWN,,407,150,3,NEUTRAL,3,6,ASSUMED_HOSTILE,255,407,0,1,FALSE,1,6,8,3,6,0,6,6,2,1,0,0,24
1,control_black,control,black,monitoring,2,23,0,TIMEOUT,,"","",,,,776,6,ASSUMED_HOSTILE,,,,,,3,2,FRIEND,202,331,0,1,FALSE,6,2,,3,6,0,6,7,2,0,0,0,24
1,control_black,control,black,monitoring,2,24,1,CLICKED,1674,"","",,,,1782,1,UNKNOWN,,302,349,4,HOSTILE,4,4,HOSTILE,302,349,0,1,FALSE,1,4,4,4,6,0,5,7,2,0,0,0,24
1,control_black,control,black,monitoring,2,25,0,TIMEOUT,,"","",,,,819,5,ASSUMED_FRIEND,,,,,,1,4,HOSTILE,422,601,0,1,FALSE,5,4,,5,6,0,5,7,1,0,0,0,24
1,control_black,control,black,monitoring,2,26,0,TIMEOUT,,"","",,,,1933,3,NEUTRAL,,,,,,8,6,ASSUMED_HOSTILE,224,620,0,1,FALSE,3,6,,5,5,0,5,7,1,1,0,0,24
1,control_black,control,black,monitoring,2,27,0,TIMEOUT,,"","",,,,1707,6,ASSUMED_HOSTILE,,,,,,8,3,NEUTRAL,381,507,0,1,FALSE,6,3,,5,6,0,5,7,1,0,0,0,24
1,control_black,control,black,monitoring,2,28,0,TIMEOUT,,"","",,,,693,5,ASSUMED_FRIEND,,,,,,23,6,ASSUMED_HOSTILE,441,311,0,1,FALSE,5,6,,5,6,0,5,7,0,1,0,0,24
1,control_black,control,black,monitoring,2,29,0,CLICKED,47,"","",,,,1497,1,UNKNOWN,,671,42,2,FRIEND,5,5,ASSUMED_FRIEND,210,219,0,1,FALSE,1,5,0,5,6,0,4,7,1,1,0,0,24
1,control_black,control,black,monitoring,2,30,0,TIMEOUT,,"","",,,,845,3,NEUTRAL,,,,,,8,1,UNKNOWN,471,341,0,1,FALSE,3,1,,5,5,0,5,7,1,1,0,0,24
1,control_black,control,black,monitoring,3,1,0,TIMEOUT,,"","",,,,1155,1,UNKNOWN,,,,,,0,2,FRIEND,283,432,0,1,FALSE,1,2,,2,2,0,5,3,6,6,0,0,24
1,control_black,control,black,monitoring,3,2,0,TIMEOUT,,"","",,,,1139,1,UNKNOWN,,,,,,1,3,NEUTRAL,609,674,0,1,FALSE,1,3,,2,3,0,4,3,6,6,0,0,24
1,control_black,control,black,monitoring,3,3,0,CLICKED,2814,"","",,,,881,5,ASSUMED_FRIEND,,359,358,3,NEUTRAL,12,4,HOSTILE,588,397,0,1,FALSE,5,4,9,3,3,0,4,3,5,6,0,0,24
1,control_black,control,black,monitoring,3,4,0,CLICKED,160,"","",,,,1006,2,FRIEND,,369,409,3,NEUTRAL,0,4,HOSTILE,137,165,0,1,FALSE,2,4,9,4,3,0,4,2,5,6,0,0,24
1,control_black,control,black,monitoring,3,5,0,TIMEOUT,,"","",,,,1226,1,UNKNOWN,,,,,,2,5,ASSUMED_FRIEND,358,180,0,1,FALSE,1,5,,4,3,0,3,2,6,6,0,0,24
1,control_black,control,black,monitoring,3,6,0,TIMEOUT,,"","",,,,1458,5,ASSUMED_FRIEND,,,,,,2,4,HOSTILE,400,185,0,1,FALSE,5,4,,5,3,0,3,2,5,6,0,0,24
1,control_black,control,black,monitoring,3,7,0,TIMEOUT,,"","",,,,1085,1,UNKNOWN,,,,,,3,4,HOSTILE,443,410,0,1,FALSE,1,4,,6,3,0,2,2,5,6,0,0,24
1,control_black,control,black,monitoring,3,8,0,TIMEOUT,,"","",,,,850,6,ASSUMED_HOSTILE,,,,,,18,2,FRIEND,280,337,0,1,FALSE,6,2,,6,3,0,2,3,5,5,0,0,24
1,control_black,control,black,monitoring,3,9,1,CLICKED,1280,"","",,,,1356,6,ASSUMED_HOSTILE,,469,350,3,NEUTRAL,19,3,NEUTRAL,469,350,0,1,FALSE,6,3,19,6,4,0,2,3,5,4,0,0,24
1,control_black,control,black,monitoring,3,10,0,TIMEOUT,,"","",,,,1402,6,ASSUMED_HOSTILE,,,,,,20,4,HOSTILE,593,639,0,1,FALSE,6,4,,7,4,0,2,3,5,3,0,0,24
1,control_black,control,black,monitoring,3,11,0,TIMEOUT,,"","",,,,926,5,ASSUMED_FRIEND,,,,,,13,1,UNKNOWN,625,546,0,1,FALSE,5,1,,7,4,0,3,3,4,3,0,0,24
1,control_black,control,black,monitoring,3,12,0,TIMEOUT,,"","",,,,1113,6,ASSUMED_HOSTILE,,,,,,21,1,UNKNOWN,489,247,0,1,FALSE,6,1,,7,4,0,4,3,4,2,0,0,24
